City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,paralimni,12,GR,1525825671,93,40.99,23.67,54.2,2.37
89,gondanglegi,0,ID,1525825672,78,-7.75,112.01,73.1,4.38
90,matehuala,0,MX,1525825672,35,23.65,-100.64,72.92,4.27
91,bethel,90,US,1525823580,57,60.79,-161.76,48.2,17.22
92,arraial do cabo,40,BR,1525820400,88,-22.97,-42.02,69.8,4.7
93,tolbazy,40,RU,1525822200,62,54.01,55.89,51.8,11.18
94,acajutla,40,SV,1525823400,61,13.59,-89.83,89.6,3.36
95,svetlogorsk,90,RU,1525822200,70,53.14,59.15,44.6,6.71
96,bredasdorp,88,ZA,1525825674,83,-34.53,20.04,63.38,30.44
97,ust-tsilma,80,RU,1525825675,97,65.44,52.15,31.79,6.06
98,agirish,88,RU,1525825675,88,61.92,63.02,39.89,6.4
99,virudunagar,48,IN,1525825482,97,9.6,77.97,73.91,2.93
100,port elizabeth,1,US,1525823760,59,39.31,-74.98,66.2,10.29
101,kollam,40,IN,1525822200,88,8.88,76.6,78.8,3.6
102,hithadhoo,36,MV,1525825676,100,-0.6,73.08,80.93,8.41
103,kahului,90,US,1525823760,94,20.89,-156.47,71.6,17.22
104,tilichiki,0,RU,1525825677,90,60.47,166.1,33.95,5.73
105,berlevag,0,NO,1525819800,69,70.86,29.09,35.6,14.99
106,hobart,75,AU,1525824000,51,-42.88,147.33,59.0,8.05
107,padang,0,ID,1525825678,100,-0.92,100.36,83.81,3.71
108,evensk,36,RU,1525825678,93,61.92,159.24,32.69,2.26
109,salinas,1,US,1525823700,68,36.67,-121.66,77.0,5.82
110,east london,0,ZA,1525825678,100,-33.02,27.91,72.56,12.21
111,pavlogradka,12,RU,1525825679,76,54.2,73.56,34.04,5.84
112,oga,24,NG,1525825679,77,8.18,5.65,79.13,13.33
113,saskylakh,76,RU,1525825680,95,71.97,114.09,18.02,4.61
114,kununurra,0,AU,1525824000,28,-15.77,128.74,84.2,10.29
115,abha,0,SA,1525824000,30,18.22,42.5,68.0,6.93
116,banda aceh,12,ID,1525825681,100,5.56,95.32,74.81,2.04
117,norman wells,20,CA,1525820400,66,65.28,-126.83,48.2,13.87
118,bambous virieux,40,MU,1525824000,78,-20.34,57.76,75.2,5.82
119,laranjeiras do sul,20,BR,1525825682,71,-25.41,-52.42,68.06,4.38
120,comodoro rivadavia,0,AR,1525824000,59,-45.87,-67.48,62.6,5.82
121,tiksi,80,RU,1525825682,98,71.64,128.87,17.12,4.38
122,breves,48,BR,1525825682,92,-1.68,-50.48,78.95,7.18
123,bilari,0,IN,1525825683,79,28.62,78.8,67.43,2.93
124,matara,24,PE,1525825683,74,-13.74,-72.9,47.09,1.92
125,tasiilaq,68,GL,1525823400,54,65.61,-37.64,28.4,2.24
126,mayo,20,CA,1525820400,30,63.59,-135.9,57.2,14.99
127,vardo,20,US,1525824900,40,39.62,-77.74,73.4,4.7
128,sisimiut,48,GL,1525825685,100,66.94,-53.67,15.59,2.15
129,bismarck,1,US,1525824900,68,46.81,-100.78,64.4,10.29
130,syumsi,64,RU,1525825685,97,57.11,51.61,47.27,7.4
131,kahama,68,TZ,1525825686,83,-3.83,32.6,67.97,8.75
132,nuuk,20,GL,1525823400,62,64.17,-51.74,23.0,9.17
133,koygorodok,92,RU,1525825686,98,60.44,51.01,38.81,14.45
134,aklavik,75,CA,1525820400,60,68.22,-135.01,42.8,9.17
135,bada,0,NG,1525825687,43,12.41,4.51,82.01,11.21
136,klaksvik,32,FO,1525823400,93,62.23,-6.59,44.6,11.41
137,isangel,0,VU,1525825688,98,-19.55,169.27,78.86,18.59
138,the valley,20,AI,1525820400,69,18.22,-63.06,78.8,14.99
139,falmouth,20,GB,1525823400,93,50.16,-5.07,46.4,5.82
140,iqaluit,90,CA,1525820400,79,63.75,-68.52,21.2,12.75
141,georgetown,75,GY,1525824000,94,6.8,-58.16,75.2,6.93
142,oktyabrskiy,0,RU,1525822200,62,55.61,37.97,57.2,11.18
143,dengzhou,0,CN,1525825691,66,32.69,112.08,67.97,6.4
144,san quintin,40,PH,1525820400,78,17.54,120.52,80.6,2.24
145,abu dhabi,0,AE,1525824000,65,24.47,54.37,84.2,2.15
146,salalah,20,OM,1525823400,88,17.01,54.1,82.4,4.7
147,hovd,0,NO,1525823400,39,63.83,10.7,64.4,6.93
148,zemio,32,CF,1525825692,92,5.02,25.13,69.32,2.48
149,senneterre,40,CA,1525820400,67,48.39,-77.24,57.2,12.75
150,laguna,20,MX,1525822800,20,27.52,-110.01,93.2,9.17
151,vanimo,8,PG,1525825693,100,-2.67,141.3,83.72,5.61
152,yulara,0,AU,1525824000,20,-25.24,130.99,68.0,6.93
153,chokurdakh,76,RU,1525825694,100,70.62,147.9,15.68,7.18
154,severo-kurilsk,8,RU,1525825694,92,50.68,156.12,37.37,16.02
155,nanortalik,24,GL,1525825694,100,60.14,-45.24,29.81,17.69
156,barranca,80,PE,1525825682,100,-10.75,-77.76,66.17,5.28
157,port alfred,20,ZA,1525825695,97,-33.59,26.89,63.38,9.19
158,micheweni,80,TZ,1525825695,100,-4.97,39.83,79.04,15.68
159,manitouwadge,92,CA,1525825696,46,49.12,-85.84,51.77,5.28
160,ilulissat,0,GL,1525823400,61,69.22,-51.1,14.0,2.24
161,longyearbyen,40,NO,1525823400,86,78.22,15.63,33.8,12.75
162,havelock,90,US,1525823880,88,34.88,-76.9,64.4,11.41
163,kokopo,0,PG,1525825697,96,-4.34,152.27,83.99,7.63
164,richards bay,0,ZA,1525825698,92,-28.77,32.06,63.92,9.98
165,luderitz,0,NA,1525825698,93,-26.65,15.16,55.91,11.54
166,aconibe,44,GQ,1525825698,98,1.29,10.94,68.06,2.15
167,sangar,12,RU,1525825699,72,63.92,127.47,35.84,5.17
168,manono,68,CD,1525825699,93,-7.3,27.4,69.86,2.93
169,mehamn,0,NO,1525819800,69,71.03,27.85,35.6,14.99
170,talara,76,PE,1525825700,68,-4.58,-81.27,75.89,6.4
171,belmonte,0,PT,1525825700,75,40.36,-7.35,56.81,5.17
172,cayenne,75,GF,1525824000,94,4.94,-52.33,77.0,3.36
173,srandakan,0,ID,1525825701,84,-7.94,110.25,73.46,3.94
174,adrar,0,DZ,1525824000,28,27.87,-0.29,71.6,5.82
175,muzhi,64,RU,1525825701,96,65.4,64.7,16.94,11.88
176,taquarituba,0,BR,1525825702,76,-23.53,-49.25,68.6,14.9
177,hun,0,BE,1525823700,71,50.34,4.87,66.2,5.82
178,praia da vitoria,40,PT,1525824000,87,38.73,-27.07,57.2,9.19
179,shenjiamen,88,CN,1525825703,100,29.96,122.3,60.95,11.77
180,chimbote,56,PE,1525825703,94,-9.08,-78.59,67.52,4.61
181,rio cauto,75,CU,1525823400,88,20.56,-76.92,75.2,3.36
182,kem,76,UG,1525825704,99,2.68,33.77,64.1,3.15
183,hay river,40,CA,1525820400,49,60.82,-115.79,48.2,10.29
184,basco,1,US,1525823700,31,40.33,-91.2,78.8,16.11
185,ishinomaki,75,JP,1525820400,100,38.42,141.3,48.2,6.93
186,baturaja,48,ID,1525825705,78,-4.12,104.17,79.22,3.6
187,santa fe,100,AR,1525825657,99,-31.62,-60.7,66.53,9.42
188,cabatuan,32,PH,1525825706,93,16.95,121.67,77.24,2.93
189,kudahuvadhoo,88,MV,1525825706,100,2.67,72.89,81.29,4.72
190,quatre cocos,40,MU,1525824000,78,-20.21,57.76,75.2,5.82
191,hauterive,12,FR,1525824000,87,46.09,3.45,57.2,8.05
192,gurupi,0,BR,1525825707,53,-11.73,-49.07,75.08,4.38
193,carnarvon,0,ZA,1525825708,86,-30.97,22.13,34.31,3.6
194,sobolevo,24,RU,1525825708,77,54.43,31.9,52.67,5.06
195,tezu,12,IN,1525825708,86,27.93,96.16,59.06,1.92
196,vao,0,EE,1525825709,65,59.1,26.19,42.86,6.4
197,grand gaube,40,MU,1525824000,78,-20.01,57.66,75.2,5.82
198,baykit,32,RU,1525825709,71,61.68,96.39,18.56,2.93
199,palmer,75,AU,1525824000,76,-34.85,139.16,55.4,8.05
200,amarante,0,PT,1525824000,93,41.27,-8.08,57.2,2.24
201,kodiak,1,US,1525823580,48,39.95,-94.76,82.4,13.87
202,makakilo city,20,US,1525824240,65,21.35,-158.09,77.0,10.29
203,mabaruma,0,GY,1525825711,77,8.2,-59.78,80.66,7.52
204,pizhanka,0,RU,1525825711,69,57.46,48.54,42.86,12.77
205,alofi,75,NU,1525820400,58,-19.06,-169.92,82.4,16.11
206,praya,20,ID,1525822200,83,-8.71,116.27,77.0,2.24
207,kholodnyy,56,RU,1525825712,88,62.72,147.95,44.12,9.98
208,narsaq,36,GL,1525823400,55,60.91,-46.05,35.6,12.75
209,temyasovo,90,RU,1525822200,70,52.99,58.1,44.6,6.71
210,bara,0,NG,1525825713,44,10.41,10.6,83.72,12.44
211,tuatapere,8,NZ,1525825714,91,-46.13,167.69,54.65,16.46
212,kirakira,44,SB,1525825714,100,-10.46,161.92,83.81,18.81
213,lagoa,0,PT,1525824000,82,37.14,-8.45,60.8,6.93
214,ribeira grande,0,PT,1525825715,100,38.52,-28.7,60.86,9.53
215,upernavik,12,GL,1525825715,92,72.79,-56.15,10.82,10.2
216,lufilufi,40,WS,1525824000,66,-13.87,-171.6,89.6,5.82
217,barrow,92,AR,1525825716,86,-38.31,-60.23,68.15,7.18
218,sandakan,75,MY,1525820400,88,5.84,118.12,78.8,4.7
219,rawson,0,AR,1525825716,59,-43.3,-65.11,56.09,9.75
220,wiarton,20,CA,1525820400,42,44.74,-81.13,68.0,2.24
221,selje,0,NO,1525823400,51,62.05,5.35,62.6,18.34
222,hofn,88,IS,1525825717,100,64.25,-15.21,42.41,9.08
223,necochea,48,AR,1525825718,86,-38.55,-58.74,67.52,9.19
224,zhigansk,68,RU,1525825718,75,66.77,123.37,31.97,3.27
225,cheremukhovo,20,RU,1525825718,59,56.23,46.23,52.76,8.41
226,sabla,0,NG,1525825719,43,12.75,4.71,82.01,11.21
227,luan,75,CH,1525823400,82,46.36,6.98,59.0,3.36
228,hinton,76,CA,1525825719,50,53.4,-117.57,59.69,3.04
229,wladyslawowo,0,PL,1525824000,81,54.79,18.4,50.0,2.24
230,itoman,90,JP,1525823760,83,26.12,127.67,77.0,11.41
231,bowen,40,AU,1525820400,78,-20.01,148.25,75.2,5.82
232,pimentel,32,BR,1525825720,95,-3.7,-45.5,74.45,2.37
233,tarko-sale,48,RU,1525825641,58,64.92,77.78,5.87,4.5
234,chapais,1,CA,1525820400,30,49.78,-74.86,42.8,6.93
235,requena,40,ES,1525824000,82,39.49,-1.1,62.6,1.12
236,ayagoz,36,KZ,1525825722,58,47.96,80.43,36.11,5.17
237,daru,48,SL,1525825722,80,7.99,-10.85,77.96,7.74
238,maralal,12,KE,1525825722,97,1.1,36.7,54.74,3.04
239,tondano,20,ID,1525822200,83,1.3,124.91,80.6,2.24
240,ulladulla,0,AU,1525820400,59,-35.36,150.48,62.6,8.05
241,carballo,92,ES,1525824000,93,43.21,-8.69,55.4,5.82
242,naron,92,ES,1525824000,93,43.52,-8.15,55.4,5.82
243,panaba,80,MX,1525825724,40,21.28,-88.27,82.64,8.63
244,dunedin,0,NZ,1525825724,65,-45.87,170.5,57.89,6.62
245,maracacume,92,BR,1525825724,96,-2.04,-45.96,75.17,4.5
246,alta floresta,0,BR,1525825725,52,-9.87,-56.08,84.62,3.6
247,phan thiet,44,VN,1525825725,100,10.93,108.1,79.4,3.15
248,gunjur,5,GM,1525824000,77,13.18,-16.76,69.8,12.75
249,hoquiam,90,US,1525823580,87,46.98,-123.89,68.0,5.82
250,turukhansk,56,RU,1525825726,69,65.8,87.96,9.74,5.95
251,angoram,24,PG,1525825727,76,-4.06,144.07,85.25,2.93
252,beyneu,8,KZ,1525825727,43,45.32,55.19,51.59,7.96
253,purranque,90,CL,1525824000,93,-40.91,-73.16,50.0,3.36
254,roura,75,GF,1525824000,94,4.73,-52.33,77.0,3.36
255,zhezkazgan,0,KZ,1525825728,90,47.8,67.71,39.71,10.09
256,sorland,48,NO,1525825729,84,67.67,12.69,46.73,22.17
257,mobaye,36,CF,1525825729,93,4.33,21.18,73.55,4.16
258,peniche,90,PT,1525824000,93,39.36,-9.38,57.2,9.17
259,souillac,90,FR,1525824000,87,45.6,-0.6,59.0,9.17
260,sioux lookout,90,CA,1525820400,37,50.1,-91.92,53.6,4.7
261,obo,0,CF,1525825730,86,5.39,26.49,71.66,3.6
262,port lincoln,92,AU,1525825730,91,-34.72,135.86,62.66,12.44
263,oktyabrskoye,0,RU,1525825731,67,56.73,85.44,25.22,5.5
264,marsala,40,IT,1525823700,87,37.8,12.44,59.0,3.36
265,royal tunbridge wells,0,GB,1525823400,81,51.14,0.27,60.8,5.82
266,pozo colorado,0,PY,1525825732,67,-23.49,-58.8,78.77,10.31
267,hamakita,90,JP,1525820580,82,34.8,137.78,57.2,10.29
268,san juan,40,PH,1525820400,74,14.6,121.03,86.0,9.17
269,chazuta,40,PE,1525824000,88,-6.57,-76.13,78.8,4.7
270,morros,75,BR,1525824000,94,-2.87,-44.04,75.2,2.24
271,zharkent,56,KZ,1525825734,41,44.17,80.0,32.42,1.59
